HCR#,,As Of Date,Contract Origin (and Admin Official),,,Contract Destination,,,,,
,,8.5,0.92?,?,?,0.52,,,,,
151,1,30,MANCHESTER,05:50:00 ET,15 min,06:05:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
151,2,030AB,MANCHESTER WEST,06:30:00 ET,9 min,06:39:00 ET,,,,,
151,3,3045,GOFFSTOWN,06:55:00 ET,9 min,07:04:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,13.4,1.23?,?,?,0.68,,,,,
152,1,3045,GOFFSTOWN,07:05:00 ET,9 min,07:14:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
152,2,30,MANCHESTER,07:45:00 ET,15 min,08:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,12.4,0.92?,?,?,0.52,,,,,
153,1,30,MANCHESTER,10:15:00 ET,15 min,10:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
153,2,030AB,MANCHESTER WEST,10:51:00 ET,9 min,11:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,7.8,0.75?,?,?,0.35,,,,,
154,1,030AB,MANCHESTER WEST,11:01:00 ET,6 min,11:07:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
154,2,30,MANCHESTER,11:25:00 ET,15 min,11:40:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,8.5,0.65?,?,?,0.3,,,,,
155,1,30,MANCHESTER,11:40:00 ET,15 min,11:55:00 ET,24LG,6X,51,12/06/2024 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
155,2,3045,GOFFSTOWN,12:20:00 ET,6 min,12:26:00 ET,,,,,
155,3,030HE,HOBBY FULFILLMENT,13:00:00 ET,9 min,13:09:00 ET,,,,,
155,4,3101,DOWNTOWN,13:25:00 ET,9 min,13:34:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,22.7,1.90?,?,?,1.25,,,,,
156,1,3101,DOWNTOWN,13:35:00 ET,9 min,13:44:00 ET,24LG,6X,51,12/06/2024 06/30/2026,
156,2,30,MANCHESTER,14:05:00 ET,15 min,14:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,6.3,0.75?,?,?,0.35,,,,,
157,1,30,MANCHESTER,12:20:00 ET,15 min,12:35:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
157,2,3045,GOFFSTOWN,13:06:00 ET,9 min,13:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,12.5,0.92?,?,?,0.52,,,,,
158,1,3045,GOFFSTOWN,13:16:00 ET,6 min,13:22:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
158,2,30,MANCHESTER,13:40:00 ET,15 min,13:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,12.4,0.65?,?,?,0.3,,,,,
159,1,30,MANCHESTER,13:10:00 ET,15 min,13:25:00 ET,26LG,K67,251,12/06/2024 06/30/2026,
159,2,3070,NEW BOSTON,14:16:00 ET,9 min,14:25:00 ET,,,,,
159,3,3043,FRANCESTOWN,14:41:00 ET,9 min,14:50:00 ET,,,,,
159,4,3047,GREENFIELD,15:04:00 ET,6 min,15:10:00 ET,,,,,
159,5,3045,GOFFSTOWN,16:00:00 ET,15 min,16:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,51.1,3.08?,?,?,2.18,,,,,
160,1,3047,GREENFIELD,16:51:00 ET,9 min,17:00:00 ET,26LG,K67,251,12/06/2024 06/30/2026,
160,2,3043,FRANCESTOWN,17:16:00 ET,9 min,17:25:00 ET,,,,,
160,3,3070,NEW BOSTON,17:39:00 ET,6 min,17:45:00 ET,,,,,
160,4,3045,GOFFSTOWN,18:10:00 ET,9 min,18:19:00 ET,,,,,
160,5,30,MANCHESTER,18:50:00 ET,15 min,19:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,32.7,2.23?,?,?,1.43,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
161,1,30,MANCHESTER,15:00:00 ET,15 min,15:15:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
161,2,3045,GOFFSTOWN,15:45:00 ET,9 min,15:54:00 ET,,,,,
161,3,030AB,MANCHESTER WEST,16:10:00 ET,9 min,16:19:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.1,1.32?,?,?,0.77,,,,,
162,1,030AB,MANCHESTER WEST,16:20:00 ET,9 min,16:29:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
162,2,30,MANCHESTER,17:00:00 ET,15 min,17:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,8.5,0.92?,?,?,0.52,,,,,
163,1,30,MANCHESTER,15:25:00 ET,15 min,15:40:00 ET,24LG,6X,51,12/06/2024 06/30/2026,
163,2,3045,GOFFSTOWN,16:09:00 ET,6 min,16:15:00 ET,,,,,
163,3,3047,GREENFIELD,16:44:00 ET,6 min,16:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,31.6,1.42?,?,?,0.97,,,,,
164,1,3047,GREENFIELD,16:51:00 ET,9 min,17:00:00 ET,24LG,6X,51,12/06/2024 06/30/2026,
164,2,3043,FRANCESTOWN,17:16:00 ET,9 min,17:25:00 ET,,,,,
164,3,3070,NEW BOSTON,17:39:00 ET,6 min,17:45:00 ET,,,,,
164,4,3045,GOFFSTOWN,18:01:00 ET,9 min,18:10:00 ET,,,,,
164,5,30,MANCHESTER,18:45:00 ET,15 min,19:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,32.7,2.15?,?,?,1.35,,,,,
165,1,30,MANCHESTER,16:35:00 ET,15 min,16:50:00 ET,26LG,K67,251,12/06/2024 06/30/2026,
165,2,030HE,HOBBY FULFILLMENT,17:05:00 ET,9 min,17:14:00 ET,,,,,
165,3,3101,DOWNTOWN,17:19:00 ET,9 min,17:28:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,7.1,0.88?,?,?,0.33,,,,,
166,1,3101,DOWNTOWN,17:29:00 ET,9 min,17:38:00 ET,26LG,K67,251,12/06/2024 06/30/2026,
166,2,30,MANCHESTER,18:00:00 ET,15 min,18:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,6.3,0.77?,?,?,0.37,,,,,
167,1,30,MANCHESTER,17:50:00 ET,15 min,18:05:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
167,2,030AB,MANCHESTER WEST,18:30:00 ET,9 min,18:39:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,7.8,0.82?,?,?,0.42,,,,,
168,1,030AB,MANCHESTER WEST,18:40:00 ET,9 min,18:49:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
168,2,30,MANCHESTER,19:15:00 ET,15 min,19:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,8.5,0.83?,?,?,0.43,,,,,
169,1,30,MANCHESTER,01:30:00 ET,15 min,01:45:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
169,2,3031,AMHERST,02:15:00 ET,9 min,02:24:00 ET,,,,,
169,3,3049,HOLLIS,02:44:00 ET,15 min,02:59:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24.7,1.48?,?,?,0.83,,,,,
170,1,3049,HOLLIS,03:00:00 ET,15 min,03:15:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
170,2,30,MANCHESTER,03:55:00 ET,15 min,04:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.3,1.17?,?,?,0.67,,,,,
171,1,30,MANCHESTER,03:15:00 ET,15 min,03:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
171,2,3031,AMHERST,04:00:00 ET,9 min,04:09:00 ET,,,,,
171,3,030MD,MILFORD,04:25:00 ET,9 min,04:34:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18,1.32?,?,?,0.77,,,,,
172,1,030MD,MILFORD,04:34:00 ET,6 min,04:40:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
172,2,30,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,0.93?,?,?,0.58,,,,,
173,1,30,MANCHESTER,05:00:00 ET,15 min,05:15:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
173,2,3031,AMHERST,05:40:00 ET,9 min,05:49:00 ET,,,,,
173,3,030MD,MILFORD,06:15:00 ET,9 min,06:24:00 ET,,,,,
173,4,3086,WILTON,06:40:00 ET,9 min,06:49:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,26.1,1.82?,?,?,1.12,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
174,1,3086,WILTON,06:50:00 ET,9 min,06:59:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
174,2,30,MANCHESTER,07:40:00 ET,15 min,07:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,23.9,1.08?,?,?,0.68,,,,,
175,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
175,2,3031,AMHERST,06:25:00 ET,9 min,06:34:00 ET,,,,,
175,3,3086,WILTON,07:05:00 ET,9 min,07:14:00 ET,,,,,
175,4,3082,LYNDEBOROUGH,07:25:00 ET,6 min,07:31:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,30.6,1.77?,?,?,1.12,,,,,
176,1,3082,LYNDEBOROUGH,07:32:00 ET,6 min,07:38:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
176,2,30,MANCHESTER,08:25:00 ET,15 min,08:40:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,27.5,1.13?,?,?,0.78,,,,,
177,1,30,MANCHESTER,06:00:00 ET,15 min,06:15:00 ET,24VN,QQ,363,12/06/2024 06/30/2026,
177,2,3054,MERRIMACK,06:37:00 ET,9 min,06:46:00 ET,,,,,
177,3,3049,HOLLIS,07:20:00 ET,9 min,07:29:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,22.8,1.48?,?,?,0.93,,,,,
178,1,3049,HOLLIS,07:30:00 ET,6 min,07:36:00 ET,24VN,QQ,363,12/06/2024 06/30/2026,
178,2,30,MANCHESTER,08:10:00 ET,15 min,08:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.3,0.92?,?,?,0.57,,,,,
179,1,30,MANCHESTER,05:55:00 ET,15 min,06:10:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
179,2,030MD,MILFORD,06:45:00 ET,9 min,06:54:00 ET,,,,,
179,3,3055,MILFORD,07:05:00 ET,9 min,07:14:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.3,1.32?,?,?,0.77,,,,,
180,1,3055,MILFORD,07:15:00 ET,9 min,07:24:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
180,2,30,MANCHESTER,08:00:00 ET,15 min,08:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,17.3,1.00?,?,?,0.6,,,,,
181,1,30,MANCHESTER,09:45:00 ET,15 min,10:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
181,2,3031,AMHERST,10:30:00 ET,9 min,10:39:00 ET,,,,,
181,3,030MD,MILFORD,10:50:00 ET,9 min,10:59:00 ET,,,,,
181,4,3055,MILFORD,11:10:00 ET,6 min,11:16:00 ET,,,,,
181,5,3086,WILTON,11:26:00 ET,9 min,11:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,28.9,1.83?,?,?,1.03,,,,,
182,1,3086,WILTON,11:35:00 ET,6 min,11:41:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
182,2,30,MANCHESTER,12:20:00 ET,15 min,12:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,23.9,1.00?,?,?,0.65,,,,,
183,1,30,MANCHESTER,12:20:00 ET,15 min,12:35:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
183,2,3031,AMHERST,13:00:00 ET,9 min,13:09:00 ET,,,,,
183,3,030MD,MILFORD,13:25:00 ET,9 min,13:34:00 ET,,,,,
183,4,3086,WILTON,13:50:00 ET,9 min,13:59:00 ET,,,,,
183,5,3082,LYNDEBOROUGH,14:10:00 ET,9 min,14:19:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,31.7,1.98?,?,?,1.13,,,,,
184,1,3082,LYNDEBOROUGH,14:20:00 ET,6 min,14:26:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
184,2,30,MANCHESTER,15:10:00 ET,15 min,15:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,27.5,1.08?,?,?,0.73,,,,,
185,1,30,MANCHESTER,12:20:00 ET,15 min,12:35:00 ET,24VN,6X,51,12/06/2024 06/30/2026,
185,2,3031,AMHERST,13:00:00 ET,9 min,13:09:00 ET,,,,,
185,3,030MD,MILFORD,13:20:00 ET,9 min,13:29:00 ET,,,,,
185,4,3086,WILTON,13:45:00 ET,9 min,13:54:00 ET,,,,,
185,5,3082,LYNDEBOROUGH,14:05:00 ET,6 min,14:11:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,31.7,1.85?,?,?,1.05,,,,,
186,1,3082,LYNDEBOROUGH,14:12:00 ET,6 min,14:18:00 ET,24VN,6X,51,12/06/2024 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
186,2,3055,MILFORD,14:40:00 ET,9 min,14:49:00 ET,,,,,
186,3,030AI,ATLANTIC INNOVATIONS,15:05:00 ET,9 min,15:14:00 ET,,,,,
186,4,030PM,NASHUA,15:30:00 ET,15 min,15:45:00 ET,,,,,
186,5,30,MANCHESTER,16:10:00 ET,15 min,16:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,33.7,2.22?,?,?,1.32,,,,,
187,1,30,MANCHESTER,12:40:00 ET,15 min,12:55:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
187,2,3033,BROOKLINE,13:39:00 ET,6 min,13:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,23.9,1.08?,?,?,0.73,,,,,
188,1,3033,BROOKLINE,13:46:00 ET,6 min,13:52:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
188,2,3049,HOLLIS,14:06:00 ET,9 min,14:15:00 ET,,,,,
188,3,30,MANCHESTER,14:50:00 ET,15 min,15:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,27.9,1.32?,?,?,0.82,,,,,
189,1,30,MANCHESTER,14:55:00 ET,15 min,15:10:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
189,2,030SS,SPORT STOP,15:50:00 ET,15 min,16:05:00 ET,,,,,
189,3,3033,BROOKLINE,16:30:00 ET,15 min,16:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,27.9,1.83?,?,?,1.08,,,,,
190,1,3033,BROOKLINE,16:46:00 ET,6 min,16:52:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
190,2,3049,HOLLIS,17:10:00 ET,9 min,17:19:00 ET,,,,,
190,3,030MD,MILFORD,17:35:00 ET,15 min,17:50:00 ET,,,,,
190,4,30,MANCHESTER,18:30:00 ET,15 min,18:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,32.5,1.98?,?,?,1.23,,,,,
191,1,30,MANCHESTER,16:05:00 ET,15 min,16:20:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
191,2,3082,LYNDEBOROUGH,17:05:00 ET,9 min,17:14:00 ET,,,,,
191,3,3086,WILTON,17:25:00 ET,9 min,17:34:00 ET,,,,,
191,4,3055,MILFORD,18:00:00 ET,9 min,18:09:00 ET,,,,,
191,5,3031,AMHERST,18:20:00 ET,9 min,18:29:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,41.5,2.40?,?,?,1.55,,,,,
192,1,3031,AMHERST,18:29:00 ET,6 min,18:35:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
192,2,30,MANCHESTER,19:00:00 ET,15 min,19:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,13.7,0.77?,?,?,0.42,,,,,
193,1,30,MANCHESTER,15:50:00 ET,15 min,16:05:00 ET,24VN,6X,51,12/06/2024 06/30/2026,
193,2,3031,AMHERST,16:30:00 ET,9 min,16:39:00 ET,,,,,
193,3,3082,LYNDEBOROUGH,17:00:00 ET,9 min,17:09:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,27.9,1.32?,?,?,0.77,,,,,
194,1,3082,LYNDEBOROUGH,17:09:00 ET,6 min,17:15:00 ET,24VN,6X,51,12/06/2024 06/30/2026,
194,2,3086,WILTON,17:24:00 ET,6 min,17:30:00 ET,,,,,
194,3,030MD,MILFORD,17:45:00 ET,9 min,17:54:00 ET,,,,,
194,4,3049,HOLLIS,18:15:00 ET,9 min,18:24:00 ET,,,,,
194,5,30,MANCHESTER,19:00:00 ET,15 min,19:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40,2.10?,?,?,1.35,,,,,
195,1,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
195,2,3048,GREENVILLE,06:45:00 ET,15 min,07:00:00 ET,,,,,
195,3,3071,NEW IPSWICH,07:24:00 ET,9 min,07:33:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,36,2.05?,?,?,1.4,,,,,
196,1,3071,NEW IPSWICH,07:34:00 ET,9 min,07:43:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
196,2,3048,GREENVILLE,07:57:00 ET,9 min,08:06:00 ET,,,,,
196,3,3084,TEMPLE,08:12:00 ET,9 min,08:21:00 ET,,,,,
196,4,30,MANCHESTER,09:32:00 ET,15 min,09:47:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,41.2,2.22?,?,?,1.52,,,,,
197,1,30,MANCHESTER,15:30:00 ET,15 min,15:45:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
197,2,3084,TEMPLE,16:39:00 ET,6 min,16:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,33,1.25?,?,?,0.9,,,,,
198,1,3084,TEMPLE,16:50:00 ET,15 min,17:05:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
198,2,3071,NEW IPSWICH,17:15:00 ET,15 min,17:30:00 ET,,,,,
198,3,3048,GREENVILLE,17:45:00 ET,15 min,18:00:00 ET,,,,,
198,4,30,MANCHESTER,18:55:00 ET,15 min,19:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,44.3,2.33?,?,?,1.33,,,,,
201,1,30,MANCHESTER,12:15:00 ET,15 min,12:30:00 ET,24VN,6X,51,03/08/2025 06/30/2026,
201,2,033DM,CONCORD ANNEX,13:30:00 ET,9 min,13:39:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24.2,1.40?,?,?,1,,,,,
202,1,033DM,CONCORD ANNEX,13:30:00 ET,9 min,13:39:00 ET,24VN,6X,51,03/08/2025 06/30/2026,
202,2,30,MANCHESTER,14:50:00 ET,9 min,14:59:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24.3,1.48?,?,?,1.18,,,,,
301,1,030PM,NASHUA,00:45:00 ET,15 min,01:00:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
301,2,30,MANCHESTER,01:40:00 ET,15 min,01:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.17?,?,?,0.67,,,,,
302,1,30,MANCHESTER,01:55:00 ET,15 min,02:10:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
302,2,030PM,NASHUA,02:50:00 ET,15 min,03:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.17?,?,?,0.67,,,,,
303,1,030PM,NASHUA,02:45:00 ET,15 min,03:00:00 ET,53FT,K17,257,07/01/2024 06/30/2026,
303,2,30,MANCHESTER,03:40:00 ET,15 min,03:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.17?,?,?,0.67,,,,,
304,1,30,MANCHESTER,03:55:00 ET,15 min,04:10:00 ET,53FT,K17,257,02/15/2025 06/30/2026,
304,2,030PM,NASHUA,04:50:00 ET,15 min,05:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,18.4,1.17?,?,?,0.67,,,,,
305,1,030PM,NASHUA,03:00:00 ET,15 min,03:15:00 ET,53FT,DAIL,365,07/01/2024 06/30/2026,
305,2,30,MANCHESTER,03:55:00 ET,15 min,04:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.17?,?,?,0.67,,,,,
306,1,30,MANCHESTER,04:10:00 ET,15 min,04:25:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
306,2,030PM,NASHUA,05:05:00 ET,15 min,05:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.17?,?,?,0.67,,,,,
307,1,030PM,NASHUA,03:15:00 ET,15 min,03:30:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
307,2,30,MANCHESTER,04:10:00 ET,15 min,04:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.17?,?,?,0.67,,,,,
308,1,30,MANCHESTER,04:25:00 ET,15 min,04:40:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
308,2,030PM,NASHUA,05:20:00 ET,15 min,05:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.17?,?,?,0.67,,,,,
309,1,030PM,NASHUA,03:25:00 ET,15 min,03:40:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
309,2,30,MANCHESTER,04:20:00 ET,15 min,04:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.17?,?,?,0.67,,,,,
310,1,30,MANCHESTER,04:35:00 ET,15 min,04:50:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
310,2,030PM,NASHUA,05:30:00 ET,15 min,05:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.17?,?,?,0.67,,,,,
311,1,030PM,NASHUA,03:30:00 ET,15 min,03:45:00 ET,53FT,K17,257,12/06/2024 06/30/2026,
311,2,30,MANCHESTER,04:25:00 ET,15 min,04:40:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.17?,?,?,0.67,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
312,1,30,MANCHESTER,04:40:00 ET,15 min,04:55:00 ET,53FT,K17,257,12/06/2024 06/30/2026,
312,2,030PM,NASHUA,05:35:00 ET,15 min,05:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.17?,?,?,0.67,,,,,
313,1,030PM,NASHUA,03:45:00 ET,15 min,04:00:00 ET,53FT,X7,313,12/06/2024 06/30/2026,
313,2,30,MANCHESTER,04:40:00 ET,15 min,04:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.17?,?,?,0.67,,,,,
314,1,30,MANCHESTER,04:55:00 ET,15 min,05:10:00 ET,53FT,X7,313,12/06/2024 06/30/2026,
314,2,030PM,NASHUA,05:50:00 ET,15 min,06:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.17?,?,?,0.67,,,,,
315,1,030PM,NASHUA,10:45:00 ET,15 min,11:00:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
315,2,30,MANCHESTER,11:40:00 ET,15 min,11:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.17?,?,?,0.67,,,,,
316,1,30,MANCHESTER,11:55:00 ET,15 min,12:10:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
316,2,030PM,NASHUA,12:50:00 ET,15 min,13:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.17?,?,?,0.67,,,,,
317,1,030PM,NASHUA,12:45:00 ET,15 min,13:00:00 ET,53FT,X7,313,12/06/2024 06/30/2026,
317,2,30,MANCHESTER,13:50:00 ET,15 min,14:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.33?,?,?,0.83,,,,,
318,1,30,MANCHESTER,14:05:00 ET,15 min,14:20:00 ET,53FT,X7,313,12/06/2024 06/30/2026,
318,2,030PM,NASHUA,15:10:00 ET,15 min,15:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.33?,?,?,0.83,,,,,
319,1,030PM,NASHUA,13:50:00 ET,15 min,14:05:00 ET,53FT,K167,205,12/06/2024 06/30/2026,
319,2,30,MANCHESTER,14:50:00 ET,15 min,15:05:00 ET,,,,,
